TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C1,C6-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C1,dih H7-C1-C2-H8,dih H9-C3-C4-H10,dih C4-C5-C6-C1
11,1.3807623865048348,1.4693755695284905,1.358531142062542,1.587607367218121,1.5033409510848343,1.5580702050531585,109.07095746823269,121.32454787278878,129.01021568844,110.7973805483684,115.11973428213896,114.35573371185812,2.965680910811804,2.430235108813541,47.498582294312435
12,1.4009230484867505,1.4436474789391578,1.3554282513349032,1.567164121685169,1.5208958169789322,1.4896867308812456,121.35572911336232,118.63850928517573,121.5793127826511,118.28369307623382,109.14164196590495,112.81503862075569,8.476331361424796,2.9004063880091877,45.98557342487746
13,1.3684642341575446,1.414478718059488,1.3109379899481084,1.473485433977369,1.5006601157576682,1.5051197693716925,120.06034457816673,118.49658310120329,121.94374346689303,116.60042836667795,116.69089715005111,109.86938024505831,6.596852864296174,4.855035678369107,38.66801539070572
14,1.3488073707898696,1.43474958177864,1.3344075258009003,1.5428572897873831,1.5180529099541415,1.4852418519634314,113.50330146777937,125.08691361625642,121.15987386391826,120.10768318638601,106.86711423447683,122.51089707582175,6.091668200736705,13.11529766388488,36.659705424199835
15,1.4082117985435503,1.5102490654377314,1.3255294119553127,1.531643545805749,1.4827891231662524,1.4484400730543292,117.52207468602597,120.89036064170855,119.85465985143593,115.08017112681355,115.80428362268525,112.5455154385367,12.524762651890834,2.860442548687128,48.55069011389123
16,1.3569060489768032,1.4544093848511812,1.3400283414237146,1.4980181631478726,1.5204322848291982,1.4365248151789336,120.26569451993478,120.3078110045197,120.16485681717909,117.66028148399417,113.70852618258131,112.74396170638461,2.5336718479810236,5.571033837261812,42.53363641131376
17,1.3713153872388204,1.381356582266432,1.3304398548589795,1.5477243210648033,1.5961485607525117,1.5553241670058342,120.33727651574218,120.71461634350659,122.49147250480584,123.18490432131155,106.14064897660013,111.87850186871754,14.071966124088727,23.29563543185214,41.9087088034325
18,1.3680097929678279,1.4635235499581871,1.3698683607740811,1.515461848281459,1.432828712810295,1.518518297067055,119.73624974438377,115.7694208064889,122.69136750850538,120.00872809075507,109.4535084947946,113.88562162332241,8.358787183146603,7.075494441039393,48.73364750760894
19,1.4042633481688913,1.4005100343708976,1.3311086705120454,1.438999095221155,1.4556348396069487,1.6354951415013175,114.4053687339111,116.8774222015997,129.20649311299874,114.83914804325588,111.81791830100067,111.21219342607435,0.7448015548586266,6.1321539393356606,53.032301585454626
20,1.4713541236134606,1.4537288219015134,1.3970375897822902,1.5457786343006577,1.4045838054283941,1.5610319719592398,114.12932801362234,118.43366524593331,118.45978810009865,122.13531327922077,106.38007631173308,118.25376460174354,2.153653488266244,2.630842906896536,51.84322148121804
21,1.3254168734562792,1.4965986178611907,1.4050848248324006,1.5038091253632508,1.5386640251859276,1.5159800260248066,120.01538756135785,122.76275317900888,114.00387902214487,120.4255046348078,115.15018411045504,111.18637676410651,17.218949013692242,8.679377053056296,38.88231573984752
22,1.3480371780441256,1.4563342072692078,1.372860913405712,1.4070377240282566,1.6442942725572693,1.4932365063186999,128.47238160627222,117.17542107935773,119.24253429791263,122.77226636666828,117.9255420227476,104.76780296484374,2.94101147243269,3.774850608479656,29.314445627207526
23,1.402904188986002,1.4187034582622902,1.3409767409088993,1.4945630206008884,1.571547047130044,1.5042076811622702,120.14312176430717,119.64833366531067,124.75674343842819,114.18592139710613,117.67805469606569,104.99922034122801,3.3701561592608558,3.411295374938831,48.938616231007735
24,1.3763822201406286,1.4617355655428992,1.3619571960896748,1.5531231033583526,1.52676631859796,1.4626867425096155,119.3513404448039,121.82547508005769,115.8275788513535,125.12551595686564,108.68549595490832,115.64638906613345,17.455066339156847,8.39212075541891,38.07043666635599
25,1.3862848805543644,1.4898537257754536,1.3848165586028114,1.5678542542489708,1.586311351696463,1.5344712479798188,118.20043006795237,123.69389084858047,116.05273789447662,123.50944603356851,110.34809832312423,110.88491847295062,6.472886884651987,3.0769602934875486,44.208794980920885
26,1.4097170042400116,1.534946780167188,1.3755654484818005,1.5957500858071223,1.5083581000890853,1.5291867797743672,128.79584080243959,115.4235783094564,121.80061764667008,113.75206964480955,119.62538968162305,104.19640099477749,1.847061653348525,16.186554728642626,44.2826098281989
27,1.3615606260601014,1.4190127837600879,1.3584543880941913,1.5344619941384436,1.675495607201812,1.555823282089334,118.65200985686334,126.76618365188054,122.88013422240938,118.79352221532957,115.72736204717124,110.42238912941676,12.916503554385594,3.292169006261691,29.636376362300982
