TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C1,C6-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C1,dih H7-C1-C2-H8,dih H9-C3-C4-H10,dih C4-C5-C6-C1
17,1.4295450090313362,1.5063732036628672,1.4366439000093763,1.5130950856824652,1.4647844774864156,1.4628382681915562,123.67805235413238,119.39018000685621,85.93333887493928,115.05834101071923,102.10253786033188,111.80346466969652,21.106856895670937,47.008661482956335,25.34051858785025
18,1.3634834652764225,1.4082164711568312,1.378436567371308,1.382239261374123,2.258306514549721,1.3418723916973754,139.07972723453446,123.59582619973025,115.9879101610905,128.6607561130902,103.28860730004104,91.3976494536526,27.321002611606175,37.365262291003724,40.966487787259474
19,1.3780675458093237,1.4527537994746493,1.3331849414538068,1.431311746213268,2.273076407228679,1.4874678710537779,126.61350720086898,129.2199964107773,113.58613022958505,133.04635542967804,96.69219962244341,99.89265872797357,46.396542499210355,38.20004908645636,39.210657685078075
20,1.4703127282819852,1.3899779039080298,1.3931218391983629,1.4226213607916485,3.3958145230753867,1.380989399084085,104.03849250758618,123.00866509029491,106.77236651644434,136.52068747695245,69.4694837556209,89.25043366190866,41.03120708149711,41.08035644952178,73.90849170883362
21,1.2769590789436756,1.552322893812372,1.4521327583483687,1.312653547027475,2.64789927336733,1.4740659640048988,136.5220428039387,103.60609139367317,120.1639609437235,111.91171044140637,95.03215556769896,80.45552313506755,29.060092693024032,8.763146423508049,73.26455157290519
22,1.444418539902167,1.3934372370275263,1.418496363463526,1.4483033582485096,1.9729410767997697,1.4601409094288025,112.99449904750196,125.87504875206223,114.64702974657357,131.69003825287567,89.54573352945062,113.14937959882793,72.09631178596123,18.031586370741955,54.934788276600194
23,1.4619389217548646,1.5047648647031175,1.440855866956157,1.3932207105548005,2.4516221163588385,1.4524885303414856,115.36205489120658,118.44060031637346,105.34588047069613,135.19543049966018,88.50867790922429,95.40858880172838,19.312839490011456,11.7188721346683,64.27705008046418
24,1.4474365625908172,1.430452081067625,1.3658378551056234,1.4299013127273124,2.0592465376405062,1.3724975641185957,129.56512566282655,113.12248129717725,124.28703221692533,128.57687844780915,104.64316978095349,101.7089791880152,20.476177515837954,23.517749329573025,33.19952889047301
25,1.414143193950018,1.4382488592230172,1.3715842222871668,1.4531008893184159,2.336977280012186,1.4126300437784216,127.42117107496968,116.85403515264613,124.3243037621258,115.69470211591121,106.19997725195309,95.18783383696265,40.75125837429798,27.183182710766175,48.06952407909162
26,1.4135291606646603,1.4885003249410917,1.3689877741385,1.4071319569020513,2.222592076511841,1.5166120205040587,117.26360088044737,125.53039311728024,115.83578666057913,135.52596816532633,88.26413485999832,107.11902026761884,40.353295751454176,63.47862750499375,51.83355535618067
27,1.3693578545108307,1.4543756650240616,1.365616542494776,1.3864687782853864,2.2397228651881447,1.349359761698122,129.4164413990537,118.64767354198298,127.46411963576428,118.52502097432601,103.68331363348837,94.63377609798768,26.833154215861256,21.436867576178873,54.66167800198677
28,1.3918468582567025,1.4301991177993176,1.4787049904859388,1.512529461937658,2.2863331964774183,1.4102833848328717,129.62238512671783,116.99512021012262,124.20975002737359,110.84350264674279,98.56755647400004,87.40295957647874,1.6758783914785351,31.96263202827119,72.53520154145613
29,1.4196485047087755,1.4137045373363946,1.431968180891691,1.458580401503797,2.3439470724766034,1.3988606780891255,116.93766463562316,129.9220824393704,115.44840634428563,127.82457926455304,89.45209864615596,98.99859935932405,31.87348316241643,29.000828710795954,62.803860219487646
30,1.4849533007190625,1.5615701389883294,1.4343487882266834,1.2967025605842135,3.183893763407151,1.3121532910519016,133.15715305124615,97.89349649027774,114.94499389153309,106.7229304364039,92.53923282350364,75.47771781550595,31.83246895918635,22.53583069483913,70.06763544550027
31,1.3526774298223765,1.4115791988728648,1.4533072890595458,1.3811265909059212,2.258824764918707,1.4122909658833767,117.28248058629698,122.53081650141927,119.36375409047996,131.81942489519733,84.93497295802027,103.22779421867538,28.82417927543526,19.61594684749408,63.77775952759393
32,1.4823354478773054,1.3898953382907584,1.456048747975941,1.4211768662137572,1.9793901005342893,1.3338458715947572,132.63787736266337,111.56706576516743,127.99510959461793,121.88904091629249,103.56922990022456,105.9127601184114,17.485679895685855,33.18209142248143,41.45732172930577
33,1.4585225805112563,1.4485090693732106,1.3296872980601493,1.4683249132680567,2.482919400427302,1.4050463553477932,131.71456223296545,112.452441939602,128.4356401690858,113.58120803372353,97.31998919283733,77.4175656834764,18.501250941056096,34.89580623953359,74.43509657616096
34,1.5145887765308044,1.4908800557329662,1.3472224722249198,1.4777010240374526,1.7369851758643242,1.5382626230866696,116.58272882904055,92.64505098270807,127.55474857474188,121.11642605799399,111.96699678412674,93.00159915560221,50.3204647883161,13.427569792632045,43.025295816421654
35,1.3747639076682956,1.3903946822680482,1.3796265787010513,1.386549058182263,1.7987298962092126,1.4406886743188099,125.17874750742044,105.90140946600873,129.98745894417155,118.57646124636605,109.00983614118304,97.79467202016768,3.483965884640352,86.01296452362975,49.35348809191919
36,1.5194980305237396,1.3706066831266441,1.3972488068123823,1.440646244895471,2.1795107987098667,1.406313804860403,114.42342129571645,116.22504031187272,121.18341926435663,126.69441148171592,88.69285482684741,100.75869861361998,41.70789540516386,19.841497153355938,71.30969964961842
37,1.362498017046032,1.4511273036556802,1.3227881068111,1.4152115029663077,1.7640398099307175,1.3969830082278625,109.34898818346643,132.93198843343453,108.85131575600721,129.63968093746647,99.62810188380756,114.82030926054394,111.60469662255534,1.4702115951445172,50.852263498661806
38,1.420090988807729,1.392993346580722,1.4828606623708545,1.3923126856847448,2.031665085555885,1.386435394980051,124.44242945417561,116.38927336740305,125.2210203464112,123.29530279678123,106.16639832255055,105.06988036443678,17.8164719548134,51.844326502890866,37.85979918717956
40,1.437185302930674,1.3772412525755637,1.3657759063315702,1.4380782010375506,2.20419651601876,1.4024112265682582,120.24719820808014,128.6096466012575,121.77697820637309,115.24398351648853,104.0091868367394,94.85593504556479,7.605471255530723,34.086068218480214,62.815407695580106
42,1.4208891057934856,1.3800201113491832,1.4158418943677449,1.4454738969027396,2.217843474187165,1.4678128762483198,117.46358813442706,133.25149520167244,117.6137097132457,124.69685928108395,98.42253821477087,105.36170496750883,55.17900305813309,32.990474325732734,45.581975706430065
43,1.3515326641424326,1.3591041492563358,1.4472598395406149,1.4311789093198015,2.3947224176303266,1.4591739104422825,116.6880497359216,125.77608440840545,125.36296031147423,123.4383560045974,91.51332186089657,95.92007483737285,2.885548484745957,23.813171024367907,62.85328209425389
44,1.4364114686957068,1.4517043100424416,1.37449710217176,1.4482868500762998,2.0780785560795256,1.4458629736587356,121.67671664227639,125.53552942229477,112.04518812682534,134.95635444911375,96.33898181628145,105.17804497682133,58.12489919903604,14.686342405469572,43.91854508122588
