TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
27,1.447401828516802,1.6715033072918928,1.493407781896458,1.4782766471926934,1.616292866966424,1.3895547886546828,1.4289097426874675,1.3216186409764514,126.3659178524955,119.04925279094228,115.95186102999317,119.99610009556383,116.93272424372164,126.36478621597554,125.75227982516162,129.2397194302021,12.982105663637672,7.674190283580755
28,1.5484693334767548,1.5110048750597995,1.6164400827501944,1.4251763675395084,1.7895591564279518,1.277802562722532,1.4425721919810714,1.2473708297016908,130.7995838631894,107.01271960405437,112.95882504282342,106.36108690542008,111.34902904054863,127.88779066861471,120.75153669222837,128.7404146948723,5.036997863976007,4.285484623899357
29,1.5186748103712522,1.5392740928234676,1.5678253508235047,1.5876386645541274,1.4015881057475554,1.295113656438146,1.5378471149099204,1.4190114818463455,131.35998578017768,111.51522993931573,118.43629865183125,115.1585488996269,119.48248518343794,127.84726152989613,126.58003883089133,117.42519366905078,6.9196598863277865,6.890388740733101
30,1.4479511567026515,1.5602911565828264,1.570769682092003,1.7085807936740525,1.484312150283117,1.1854655943313877,1.4351918913853392,1.1988697553526997,118.44769727770452,127.63291435541973,113.66513884528493,112.15491644887507,113.35258389898095,139.42419241438844,117.00140321944342,140.10106311699334,0.7826116535085191,12.300196817656248
31,1.3923033185794311,1.6013170412979134,1.478736170807712,1.6414505284911116,1.5008068007236706,1.3388812471572573,1.5106658659960983,1.3466697850678573,127.68433050459718,124.69346809572488,114.33101392848904,120.08349583799735,113.3255045825001,125.59673526077617,125.36758018437258,123.44998649060476,0.9243068951265274,9.765949598052549
32,1.4855353993113105,1.488780203656791,1.5970336803994072,1.5707465937357141,1.666981900255867,1.465088875545453,1.368157230314974,1.3494781610773194,122.45695557732444,114.26857424111898,121.96719225296232,107.05821792571702,117.29982007865829,123.46293878933258,122.08534921042794,137.78534953414163,11.594518349415154,19.81309485485727
33,1.5024347540011231,1.5136152753334529,1.4735180279338762,1.6216691386193556,1.4954168399710521,1.3632179009528194,1.4793521121168944,1.383067973250352,129.40689825311023,116.60947677826336,118.82535782406225,113.26573208407838,111.11578820243399,122.0353718192542,128.39052171753434,122.8291101292546,0.09521481115528034,4.256021014557817
34,1.3833357115941574,1.595822567481657,1.5962558247086924,1.6595033196254425,1.5530856871267797,1.3641915696436333,1.4847972048581042,1.4908394566028353,127.86448048148627,118.2873908277031,115.41315449803108,114.19510376659925,119.33375797451431,128.75273819385455,127.04717513800951,119.37124761844132,9.085909930198143,2.568172459446086
35,1.511558125868888,1.4521792967055067,1.6064951977490731,1.6155199833677438,1.5709717709050408,1.186755278993031,1.6452281423608146,1.3767475616299671,130.78677034045901,114.16787282307656,115.25155334641258,109.845018043191,110.96008531111423,124.98789182192749,126.86226126600313,117.86791929116913,12.404564077619636,20.70793182516928
36,1.467759960118543,1.4904369380574773,1.4984199940954943,1.588355921970929,1.5116022362984394,1.3797253188488399,1.3670619993977322,1.2927197693465398,129.16875835230832,117.31356467141285,113.52347162032379,112.70174971568751,114.75913235159686,126.2978679880476,126.04274234125799,125.27572463572554,1.7327160572442024,3.8449716841346904
37,1.4556659736201287,1.5092299850197992,1.6966721989605236,1.642584107112232,1.4483387382518353,1.2898498275871524,1.4582691966842853,1.3102701803441483,129.04640053061246,117.66262980244777,115.01298377208269,103.24677084371636,115.02757400794859,135.1542957119802,122.19603638756647,127.4045722322487,12.414375892668518,19.69249446541707
