TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
30,1.3507188133448869,1.5029587201695331,1.693831123290485,1.7193300582685118,1.3394419895147291,1.268703640933843,1.4913650984010385,1.3032601586172194,127.99706196451031,122.8658101142196,113.18946796403173,112.61465112204544,111.34665282036474,126.2265685149983,113.19134753568274,133.5716225320128,4.252033123455409,109.31792404726116
31,1.5409843614559453,1.645604376095822,1.5292601240126003,1.5518649996677358,1.5306833630826737,1.3011766034361414,1.6590272921054985,1.488489592611022,113.30435804252545,126.45156766724637,110.74527034165926,112.17964762442239,110.99822066970562,125.08623780809937,117.97715746134965,82.57424720924979,19.77605801445502,46.091562656198164
32,1.6726242651048673,1.5739141326954695,1.4811464637230722,1.5358490770890167,1.471493867312219,1.434915754058785,1.5547018568005513,1.5050775749967344,130.2944794401481,118.77242651591769,113.3613698286389,119.12049191274598,109.37782857278587,139.16708105241784,103.59712080937807,72.93652941443558,4.6754564988707905,35.23385472906019
33,1.5067256621905278,1.5438990765752627,1.601653949143518,1.5449796194605265,1.4890453288908867,1.410459865384198,1.6200932118573912,1.3371179629701988,114.46897035623222,115.90550160042785,99.74875799195355,101.7678700941165,120.8978520385405,131.9533770685265,96.33901042347284,130.44238621342723,150.81691366713378,0.5609796253165062
34,1.4437079307236527,1.6540767829071492,1.5271213149601455,1.5687104731687622,1.529863283557313,1.3552088215959712,1.3325174410272649,1.53495911244492,126.4983410848488,113.00033446159772,110.22727612026159,119.76760710647414,108.81000111182823,123.69945409721736,136.62192979477803,111.20197765834561,85.56430376773636,43.1092430823418
35,1.5060387114840428,1.4388314534126416,1.6189983463323234,1.630038137949321,1.4877515093382063,1.529239116765737,1.37246098509262,1.5887525298247982,114.99813425962255,122.76317767776887,105.55702543080038,121.67005880039127,119.06030059755044,114.71145674509327,120.97712812334068,68.42476469082004,9.490597340027769,62.76899283658173
37,1.6369422490274188,1.5741907881239148,1.440884137661303,1.528796176096858,1.5262680520083831,1.8740316109883586,1.4725116949716202,1.3801352257149784,129.47537797749285,99.13255128217955,111.8034471031499,118.88534670894543,114.4654743910428,106.13940662794414,131.4418317020241,126.2862755762296,165.6487275099322,7.742288944062137
38,1.6556266540288367,1.5835995735357742,1.5104794678477609,1.4935111711525753,1.5786271553940525,1.576097588938267,1.4133870576061618,1.3431084970728997,130.77112186254254,127.99939978880313,115.66891485774278,122.18118307825584,120.75426145149383,122.20756621347742,89.16681382254882,145.157851834958,70.68145208619991,3.146131617129067
39,1.5625589037119771,1.6324748014557828,1.5689332656151531,1.5302548547308679,1.9939028846188493,1.4970473349774058,1.5273819716779846,1.395403701735123,122.4359653484881,109.80805448718415,113.31933331448435,120.49094437223249,115.23354627666637,100.03760370673902,142.96444622572923,125.40190349768314,120.84589161877078,5.992097209352424
40,1.6314245731960941,1.648952434378975,1.5137176330324567,1.6263438396542416,1.4886144299278665,1.38019850967975,1.385023434587974,1.4412573489791893,133.42041591418405,99.25888339652164,124.0721183210012,116.55502103395581,122.98921018263354,142.29689195414647,122.75393796867708,110.8044339925113,27.653214767250205,77.73789783381112
