TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19
25,1.6561934035988197,1.543328789017862,1.5622334436520928,1.5889114402924507,1.3976836972992295,1.3219936621280677,1.5539839517487446,1.338385192271729,1.2014292832780484,1.1551457573172546,1.051979425048278,1.2227669210805177,1.2383434548566377,0.9465475503379536,1.1005725542387141,0.9501238889714595,1.0007663660664057,1.1922310197780117,1.1218805414075659,1.0240760575653793
26,1.431283744570931,1.6333927929782843,1.491901100473192,1.5340775868044132,1.4435396026291973,1.4063046680888667,1.539308107884912,1.3622647100315333,1.1234026678895956,1.0307001657381407,1.3962494366511664,1.1194650903225511,1.2262109583758292,1.2385175441891767,1.2548649298472134,1.2715600962761855,1.1014410291441032,0.927330839815579,1.0207682903405324,1.1400431359780512
27,1.447401828516802,1.6715033072918928,1.493407781896458,1.4782766471926934,1.616292866966424,1.3895547886546828,1.4289097426874675,1.3216186409764514,0.9595856413108972,1.246897483628613,0.9558455636075553,0.9772876070272698,1.277759075570677,1.225119071348371,1.0898862496555064,1.0149502014631013,1.3588609715731026,1.180949963268673,1.0022442251535417,1.0819013982516155
28,1.5484693334767548,1.5110048750597995,1.6164400827501944,1.4251763675395084,1.7895591564279518,1.277802562722532,1.4425721919810714,1.2473708297016908,1.068198917871609,1.0434185031911207,1.03906238166521,1.009240465207475,1.2362208640353964,1.3609704302248231,1.2684078764302331,1.4130788862758854,0.938259625811051,1.115485884638372,0.9907474127991601,0.8688204855540604
29,1.5186748103712522,1.5392740928234676,1.5678253508235047,1.5876386645541274,1.4015881057475554,1.295113656438146,1.5378471149099204,1.4190114818463455,1.2089202214680415,1.1915015091821555,1.3088470964180863,1.2052872965494807,0.9750925154629908,1.0757700410580837,1.3606958467883121,1.1567472773920193,1.0136146897954108,1.0481699136278373,1.097148400644294,1.070188799971223
30,1.4479511567026515,1.5602911565828264,1.570769682092003,1.7085807936740525,1.484312150283117,1.1854655943313877,1.4351918913853392,1.1988697553526997,0.9119566006279357,1.1661194968465554,1.1762464111943773,0.9284237379888851,0.9271465656302921,1.060408172472105,1.2862084925704704,1.2348176693401738,1.1727050349529127,1.2921549814433437,1.0558991402488191,1.2170009773507016
31,1.3923033185794311,1.6013170412979134,1.478736170807712,1.6414505284911116,1.5008068007236706,1.3388812471572573,1.5106658659960983,1.3466697850678573,1.209715464133943,1.0221185251186162,0.9452825179174612,0.9543008540118528,1.10379635013579,0.9698360268201609,1.209972057075277,1.3429453705335506,1.1998808377999826,1.1895002909994832,1.0689499301250607,1.1160758535198647
32,1.4855353993113105,1.488780203656791,1.5970336803994072,1.5707465937357141,1.666981900255867,1.465088875545453,1.368157230314974,1.3494781610773194,1.185490211653229,0.9956125850743206,1.050224090035154,1.0573581007280077,1.1801714845551463,1.0641970622132968,1.132748008702676,1.1025391422923374,1.2006137532830983,1.023247114579348,1.1289819037775033,1.027219793739283
33,1.5024347540011231,1.5136152753334529,1.4735180279338762,1.6216691386193556,1.4954168399710521,1.3632179009528194,1.4793521121168944,1.383067973250352,1.1659309662151456,1.081925193539661,1.0356628393599776,0.9028449776175873,0.8808689595804569,0.9459571558016848,1.4737522360109485,1.424349901774875,1.0506732193423156,1.2961555274555423,1.0563659037756687,1.2315456282282427
34,1.3833357115941574,1.595822567481657,1.5962558247086924,1.6595033196254425,1.5530856871267797,1.3641915696436333,1.4847972048581042,1.4908394566028353,1.1071488104785676,0.9179979023497894,1.0860302651722935,1.2106149601790672,1.1440872543592964,1.2520049307188545,1.1963076719813346,1.1423906326290643,0.8731933343528443,1.0900275704464193,1.1343069213328998,1.0618759807723677
35,1.511558125868888,1.4521792967055067,1.6064951977490731,1.6155199833677438,1.5709717709050408,1.186755278993031,1.6452281423608146,1.3767475616299671,1.187573593787111,1.1527369731926238,1.0713418351503405,0.9516769610791452,1.1708058506219292,1.1103702123573382,1.303169175092979,1.2015157512562409,1.0148207200969543,0.8889404739519248,1.1170565368466616,1.2265557103445397
36,1.467759960118543,1.4904369380574773,1.4984199940954943,1.588355921970929,1.5116022362984394,1.3797253188488399,1.3670619993977322,1.2927197693465398,1.1575770429497485,1.2152036646186752,0.7915965452425439,1.1191692836951597,0.9029940629490737,0.9827233037117022,1.208681790578516,1.201756414057317,0.9872460314053186,1.4059006118639912,0.9007227220311392,1.109453817683474
37,1.4556659736201287,1.5092299850197992,1.6966721989605236,1.642584107112232,1.4483387382518353,1.2898498275871524,1.4582691966842853,1.3102701803441483,0.8619407733739268,1.0353838863063938,1.1387568067201799,1.1094620911187136,1.1395489899912055,0.8822981947666326,1.279030193579775,1.2688291098690625,0.959488118652461,1.2140656378359578,1.316105388562015,0.875896636752115
38,1.5445979637013578,1.5717066885575552,1.4678817900437848,1.6443083024457008,1.5146680349372141,1.222052807940103,1.5048615618756518,1.3696443324221832,1.2179742471748594,1.081458305035968,1.1259290336067318,1.2863051418509546,1.180898189026656,0.9430833739478618,1.2150182443220203,1.1911347988142174,1.255701483373181,0.9163692051630395,1.151325221078758,1.1781357515852073
39,1.5018350858661678,1.5934732221226562,1.5006068264645136,1.4762110125794132,1.6923220395265108,1.1534233314183786,1.459809067354328,1.3063382841444664,1.0632068185949486,1.0671129994443038,0.9892657090408323,1.2134490139441696,1.2295073774107204,1.404605365184536,1.0822046622098698,0.8874281634238103,1.150580547225939,1.144945710715269,1.1048990954928328,0.9106579525624914
40,1.663350463550697,1.5846683370077328,1.6028547461268736,1.4589357315617464,1.5530628044854702,1.4318640130038272,1.597730868899922,1.4042076941559147,1.276807754736495,1.0168993407229567,1.0743836826263664,1.2340882966402733,1.0423699700738265,0.9371036846898819,0.792655184307562,0.8417644414691231,1.094697600268162,1.0668044144416022,1.0193358918737292,1.1278812015083362
41,1.5354963946618905,1.6596370897841894,1.48334853346525,1.5026423255005676,1.3756982898437073,1.4965342629020328,1.4566876857347453,1.3629868218359882,1.1103519332341278,1.1793860546306427,0.8499623648032347,1.072030319886461,1.0629281426718709,1.0035986494961162,1.189517164973257,1.1632542914275912,1.3738365909757215,1.1558030580349565,1.097241585242524,1.18516537251242
42,1.396583188659027,1.5608521042989443,1.589250501475239,1.6868748924370702,1.5828510192871252,1.3399959501921803,1.4736226963963814,1.4304432011800565,1.275322056620378,1.1080581333935664,0.9497678666294018,0.9424148192825362,1.1580930422744418,1.1251252287258386,1.2050828202731283,1.1771676690884234,0.9133647572373005,0.9757256932984356,0.9632180509100035,1.2063670117320435
43,1.4410575027539338,1.5745929964549632,1.568901582923044,1.4965859151667684,1.5834718237987204,1.3479454501682557,1.5218892331128813,1.4317922353454264,1.142855601849385,1.0819090634839565,0.9582748701895651,0.7735316644887649,1.088855327225711,1.1162428695267825,1.068735311294142,1.0573937362898307,1.0000144441356646,0.9453579592765847,1.3593489987409058,1.0686339064672472
44,1.5491394028108716,1.5334158601197085,1.5341884715104286,1.4998468854524125,1.4991260370752049,1.2766473371536424,1.5379843507723223,1.3468625562006393,1.1449371870620282,1.070514678704412,1.6439598068886594,1.1746286668955843,1.0818332256315837,1.285569397811687,1.1746111827455714,0.9990779954081757,1.1941887355192966,1.1072411369843276,1.0581675988219785,0.9342257117185115
45,1.4702683470040505,1.5914096219727925,1.5028134509943425,1.526872880924854,1.525625518852878,1.4261058111356015,1.4480591037522819,1.3404394954341243,1.0887205883353215,1.2357410064726893,1.100209104460178,0.9736075464715724,1.061498459098176,0.9167522457884234,1.061909188875673,1.0832456795752736,1.474528660985408,1.2413606659701555,1.2336513391678063,1.180736071487149
46,1.5661360255672057,1.5383873541905342,1.5186151234818714,1.4862858964137775,1.6654329908256522,1.299379874507425,1.516252933755865,1.3178992081951386,1.300143166462147,0.9995996657442182,1.1969194668702707,0.8630845855039151,1.2925889697705957,1.1222247789109674,1.0617834187206232,1.0153470749445446,1.0803498235476687,0.9460345587498108,1.1935369178889181,1.172111249350552
47,1.5285804868077466,1.4061315879331568,1.488822654141203,1.557369760300671,1.598760701673439,1.363282065684644,1.4257764344750636,1.3841497607989033,0.8662351513889359,1.088769068290632,1.1576390059794852,1.0397087469222857,1.2987978028874185,1.2572051325415106,0.9782717433689587,1.0728854539669557,0.9628832035416226,1.1344987418820862,1.194438100566059,0.9976268821004737
48,1.5354132990195015,1.6729590706472677,1.5020666821749933,1.5098091194662728,1.508291490250039,1.377522616370827,1.4982354170641923,1.4186324540346325,1.0799943435563772,1.0324308163813758,1.0496228370922471,1.082758419611327,1.1062692160274716,1.198264289864073,0.9886031920674706,1.0191845978838145,1.2410573200273187,1.0353924298144026,1.1104783955794462,1.1101341855047924
