TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
11,1.6114905743123302,1.618477900877446,1.3984977746785705,1.6734515250569213,1.5605158850879997,1.5850902799323094,1.8276628208610166,1.3653821183731014,1.0090034203881497,1.2438360888128408,1.0945360135644866,1.1189946391232002,1.0811065739402461,1.087807027097692,1.061216499064297,1.3981295619986018,1.0425523173971487,1.1119832980457736,0.9738516819736978,0.9633518338071255,132.0748818778926,110.36720225829681,113.01788367634559,123.70479122379719,117.14624825476604,124.25456408959096,80.13639380680324,111.57445888816395,55.15534856750278,15.674675158410814
13,1.533378949982313,1.8247532919643399,1.6000043325570024,1.6765798130612126,1.5190713726043648,1.356609486124649,1.5889155764480343,1.2838007047223836,1.1711655303517967,1.335102588167488,1.2162044606342528,0.997482707737545,1.0568319954385346,1.1103056280383599,1.0350991848342468,1.135555223978697,1.0109023183870731,1.1146278990100995,1.2017248588865594,1.3304994123514773,124.56708638323742,116.67659629809451,109.40899651791645,117.39599488711248,116.4942075441374,129.6035802359049,119.85011421093148,139.17317068439579,125.0099570642316,0.4109961084283499
15,1.4967341087647335,1.627080996511985,1.5300484742402867,1.5179247177190673,1.5093985119650444,1.45890483952402,1.5873645653902178,1.44282117247622,1.2922225923228707,0.9518278279069589,0.958046486409138,1.061804347549877,1.2833516814001749,1.1026221531897729,1.031741164639995,1.0492528284222564,1.1267989415512634,1.1767144998720307,1.0575225289816286,1.0554942382585464,133.6099122092557,119.64835989405915,126.80680499422563,114.593595662903,98.26088880289413,129.61334755100327,131.1364943896322,111.85410887584902,65.45272482893961,14.616863897005214
19,1.7039081579755984,1.4905745627540417,1.4467103716882599,1.4595474113178333,1.5938091123052893,1.442687545498307,1.5312254102728442,1.3134503184012833,1.0369201268740798,1.133959045503779,1.178029499739534,1.1542978281538765,1.1078542766709576,1.2307909327616935,1.024512276244917,1.1149881666680714,1.2978173651055696,1.0955017592901122,1.0416797250088938,1.0346119168496064,107.11063716135448,112.5038289784845,115.70764600245356,118.61686720161498,122.26681213830075,125.67274393622452,119.23970020781128,139.21672046318437,106.77014816649827,24.965125291353093
22,1.5495566260581433,1.5162965998563387,1.5742135829468096,1.5887446706600405,1.5982827628601857,1.3208461584276265,1.625204275363013,1.4260673926640184,1.080496434380821,1.1378801771212836,1.3241773684473572,2.466129471917416,1.1354554950461444,0.9824914155218486,1.5800422011740622,1.2182577567202326,1.0610355672758383,1.1470165250616107,0.9846170347847125,1.1723829565134543,164.16876928637112,107.60394986669944,125.6026955595832,121.52461625338437,103.22608765585514,134.80216800017018,111.00947197158663,109.19247053557397,5.399259642976749,92.02299749289561
23,1.6060200902471549,1.5016474334188168,1.5865066897459543,1.5312296771627751,1.3934330208691839,1.3980107249683438,1.40675278082678,1.3587073495154063,1.0551040734892116,1.10425908810515,1.326372060808118,0.9903853640310669,1.1185292065303527,1.0750713710697881,1.2687350600469212,1.0331422028144244,1.3537469374841342,1.1198493791548905,1.3414126199671292,1.2103690974601984,131.26159217123808,129.01255719489765,115.39633829169938,119.38403088286303,126.52131808061243,122.27938935482217,99.51939551438117,138.32704476289527,29.823697537204193,48.93404604449619
24,1.5458552250857387,1.5652374211773485,1.5834545565675988,1.425401102712215,1.6989310809484903,1.5002898772796505,1.3932682458409094,1.430668197818599,1.0238862918510145,0.9819205376228618,1.1188913562839304,1.1209206444129063,1.1610351349314827,1.167683858304384,1.0860322723855174,1.0433094969296968,1.241797982354393,1.1509886275373817,1.0747249024940844,1.1382479456708774,133.05786271064733,123.34503029625829,117.18856971286475,116.98721151679919,117.24127599451924,116.93141691685571,88.94312110289896,143.24525438989195,37.14855381517938,25.795420625901382
26,1.6522647651111253,1.4924765480621747,1.5651584152118494,1.6097847172998212,1.40508096238416,1.571723585207812,1.4152656346084285,1.3116330270110672,1.0748381997509642,1.2155945616606236,1.1750426631989561,1.1377206101275918,1.1801751332122812,1.1568037377373603,1.1882715234895147,1.158102315231171,1.0949228098016819,1.0734589139188737,1.0359349484266804,1.152927765462467,129.42791468824637,107.12889861056652,120.07817867500731,113.94168896788207,109.50355584814656,112.84851413726913,131.11754365370862,123.02163540194398,105.49308309352472,21.15015001718028
28,1.496180339164444,1.5309787582078291,1.6621058865562022,1.7706762871168433,1.5615840021810752,1.4184668963863387,1.5775134194286156,1.3280044186170856,0.9560153329360822,1.2337326290778234,1.1016094652040826,0.9777538116599797,1.061867783759517,1.2097594770281737,1.1347684488227974,1.3642041838198158,1.2056417710749454,1.0474923700018086,1.2451175133447137,0.9546296386977295,117.68312403821474,128.08277199348504,135.6809637014188,127.60240601990823,106.0827547100186,113.21553955990044,118.02100769804511,134.2450756355152,84.75360584783175,19.461175102458057
29,1.4739736337736473,1.53700997902533,1.5534449765722718,1.6948661448800284,1.447789994836626,1.287940386233516,1.4851035443148999,1.436790907023607,1.01188387844016,1.1540214388559307,1.2067930285389181,1.2410640763478056,1.285819944359788,1.1201735310298737,1.0090841119998748,1.1230621178900666,1.1177433437202882,1.205055126177008,1.1028143158600048,1.084276521090479,120.55505840602476,141.94762361956955,124.81878873118835,106.04536526158545,113.56231609233268,112.4695423513214,131.5515205025452,115.2108221590439,10.124544576271054,102.31106625831872
