TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
46,1.5661360255672057,1.5383873541905342,1.5186151234818714,1.4862858964137775,1.6654329908256522,1.299379874507425,1.516252933755865,1.3178992081951386,1.300143166462147,0.9995996657442182,1.1969194668702707,0.8630845855039151,1.2925889697705957,1.1222247789109674,1.0617834187206232,1.0153470749445446,1.0803498235476687,0.9460345587498108,1.1935369178889181,1.172111249350552,124.89732922532644,116.1131340365586,107.79637955826077,114.08202921250104,112.8118206107991,126.99419955323677,122.740515594022,121.2693531477346,15.128621769113549,1.166053029850488
47,1.5285804868077466,1.4061315879331568,1.488822654141203,1.557369760300671,1.598760701673439,1.363282065684644,1.4257764344750636,1.3841497607989033,0.8662351513889359,1.088769068290632,1.1576390059794852,1.0397087469222857,1.2987978028874185,1.2572051325415106,0.9782717433689587,1.0728854539669557,0.9628832035416226,1.1344987418820862,1.194438100566059,0.9976268821004737,131.70072820535822,114.67536344588977,120.55205830385037,111.44466656270654,108.42636549509564,116.90417913218019,129.2540124708732,119.7037425914019,3.4072531940660804,20.34383697622276
48,1.5354132990195015,1.6729590706472677,1.5020666821749933,1.5098091194662728,1.508291490250039,1.377522616370827,1.4982354170641923,1.4186324540346325,1.0799943435563772,1.0324308163813758,1.0496228370922471,1.082758419611327,1.1062692160274716,1.198264289864073,0.9886031920674706,1.0191845978838145,1.2410573200273187,1.0353924298144026,1.1104783955794462,1.1101341855047924,133.97354517648353,112.26493495751482,120.82489360951858,124.8888465347879,118.49942243201053,125.19035774970729,130.01043750412035,117.63215696238689,12.593972333948143,7.407782299472542
49,1.498310669452031,1.5472130710060625,1.5720683138590115,1.6496632375559368,1.4682037564529955,1.3124342402845333,1.458995128623076,1.2438635768312154,1.066508406953061,1.1699212595699526,1.069667116287356,1.1207886576199513,1.337437572875837,1.1189518259186453,1.2314490920345016,1.0099962321225482,0.943793808688599,1.0036219821821004,1.0031353100518092,1.4634718680119183,124.42998666474816,115.67040508706303,116.14223640310225,110.68929799286857,117.1057805620681,128.12578826995264,120.57952769947025,131.5634066320788,16.886444799834575,17.49228378780844
50,1.5434412242090227,1.7000585130620687,1.5277669064900046,1.4811085678717477,1.4404736845854915,1.4609690671090172,1.4400016485239702,1.2374842208581267,1.0279241042969027,1.3781252553295045,0.8369593839620004,0.9889407581846785,0.9420806155736234,1.0847943354888765,1.2022991614210463,0.9912787771840642,1.3407340237743333,1.1570989234894784,1.123521249731512,0.8588077520234647,128.26124914695404,117.33893398765588,109.53268130656758,120.99236798358442,115.81846133458139,119.95093482435759,129.07794067261233,127.90952519602226,1.1027564189385546,5.332952924458826
51,1.4594580591283564,1.5049748109504628,1.5966705757879154,1.5621270611423856,1.6208634328847094,1.1173977650016478,1.5050741830543466,1.335893893588622,1.0044554230163636,1.06560802489373,1.3491071530649563,1.304274263555992,1.0268061809666422,1.0189264197248213,1.359492038517239,1.2626075201858669,1.0242146113728545,1.1958172821348918,0.9770419185244706,1.4159105705649941,115.24236180826063,118.07196274468271,108.10196397969929,114.74238787651059,117.0477296438066,130.66698272199739,124.71734804177277,128.0925600284874,4.169302178691006,1.3892200198453641
52,1.618964860957031,1.5945807658880808,1.4876066937695347,1.4650143823387896,1.4784630082168708,1.4111873250172846,1.4408791925382005,1.3845611560281927,1.0572406962463547,0.9981214666199326,1.0578592349162816,1.1712146914568653,1.0151506397799823,1.4475711537960523,0.9024020843659619,1.0406314779241363,0.912674147043603,1.1530070043066916,1.180262904308971,0.827872745176524,133.4711987351526,107.41163136451476,123.8805704844044,117.98312823206865,115.46526374741312,124.38932196814577,125.67181799037667,122.76457976775187,10.30200873703676,8.325248519442694
53,1.588538694880229,1.537859417607407,1.5685798455605702,1.4184349261994038,1.577335148948209,1.4106710206647923,1.3565107374934287,1.3303720152214633,0.96761041625126,0.9822525133524701,0.9976252762371308,1.0224447671251045,1.4016993238750703,1.2712194160543442,0.9991146106237389,0.9882565849099106,1.0732722905608927,0.896383458335796,1.1645383374145062,0.8818240632630308,122.70155695547328,113.6641718603648,112.98742851635893,113.88719996262452,115.76171872563464,121.41706130249688,121.9281592398563,128.06133107699515,4.343112008827583,3.845589171997277
54,1.5830908933938295,1.5552857349880576,1.5302278420794921,1.6153898958736377,1.4455204774469232,1.2668354957903747,1.5448108082230267,1.3038169364073902,1.037069521062478,1.0013161038498912,1.2555345137038134,1.2079412130548932,1.0700238668798698,1.0671133245410847,1.0568357360458913,1.1293217793230204,0.9200022089075308,1.1510612293514593,1.1701772810389517,0.9323893061657288,123.87813514808096,112.46548692775853,115.5246446285317,113.26823890796234,116.97673081887811,131.01993887075744,120.88348548020166,125.48038079399755,5.864631100384551,4.114972150322068
55,1.507000722902335,1.4475903043676492,1.5210313023923128,1.56925691042017,1.4685338054734947,1.4068750742825802,1.5310337790723376,1.3797413510984002,1.0426360337715588,1.023189574819674,1.2899517356188632,1.2449793202433626,1.2705174139507065,1.1648108557304298,1.22474011975836,1.241890984732061,0.7207798245925928,1.1794452995643225,0.9733676641677067,1.0873128762792161,130.19449379976763,115.8139268605009,111.60098823054462,115.09184816893388,114.89691815134718,116.46771614774534,128.9975339213978,116.75202567223364,6.4433874688476775,2.671333107683174
